,agent1,agent2,agent3,agent4,,,agent1,agent2,agent3,agent4,,,agent1,agent2,agent3,agent4,,,agent1,agent2,agent3,agent4,,,agent1,agent2,agent3,agent4,,,agent2,agent3
wooden wall 3 4,,,,,,wooden wall 4 9,,12,,,,wooden wall 5 1,,37,,38,,wooden wall 5 4,,19,,,,wooden wall 10 5,,,26,,,,,
wooden wall 4 1,36,,,,,wooden wall 4 10,,,,,,wooden wall 5 4,,,,,,wooden wall 5 10,,31,14,,,bomb 1 4,-98,-88,,,,,,
wooden wall 4 2,,,,,,wooden wall 5 1,,,,,,wooden wall 5 10,,28,21,,,wooden wall 6 4,,,,25,,bomb 10 6,,-34,-89,-70,,,,
wooden wall 4 3,,,,,,wooden wall 5 4,,,,,,wooden wall 6 4,,,,,,wooden wall 10 5,,,32,36,,extra bomb 5 1,78,,,81,,,,
wooden wall 4 5,,,,,,wooden wall 5 9,,,,,,wooden wall 9 5,,,12,14,,bomb 1 6,,-89,,-75,,can kick Power-Up 4 1,83,,,79,,,,
wooden wall 4 6,,,,,,wooden wall 5 10,,,,,,wooden wall 10 4,,,,18,,bomb 5 9,,-34,-94,-11,,can kick Power-Up 10 4,,30,78,67,,,,
wooden wall 4 9,,,,,,wooden wall 6 1,,,,14,,wooden wall 10 5,,,,,,bomb 6 1,,,,,,,,,,,,,,
wooden wall 4 10,,32,,,,wooden wall 6 4,,,,,,wooden wall 10 6,,,18,,,bomb 6 10,,,-98,-12,,,,,,,,,,
wooden wall 5 1,,,,,,wooden wall 6 10,,,12,,,bomb 9 6,,,-87,-43,,extra bomb 10 6,,,85,78,,,,,,,,,,
wooden wall 5 4,,,,,,wooden wall 9 4,,,,24,,extra bomb 5 9,,,83,,,can kick Power-Up 4 1,93,,,,,,,,,,,,,
wooden wall 5 9,,,,,,wooden wall 9 5,,,34,,,extra bomb 6 1,34,31,,91,,can kick Power-Up 4 9,,32,,,,,,,,,,,,
wooden wall 5 10,,,,,,wooden wall 10 4,,,,12,,extra bomb 6 10,,22,82,,,can kick Power-Up 9 4,,,56,67,,,,,,,,,,
wooden wall 6 1,,,,27,,wooden wall 10 5,,,,,,can kick Power-Up 4 1,96,,,,,,,,,,,,,,,,,,,
wooden wall 6 4,,,,,,wooden wall 10 6,,,34,,,,,,,,,,,,,,,,,,,,,,,
wooden wall 6 9,,,29,,,bomb 2 9,,-91,,,,,,,,,,,,,,,,,,,,,,,,
wooden wall 6 10,,,27,,,bomb 3 1,-87,,,,,,,,,,,,,,,,,,,,,,,,,
wooden wall 7 2,,,,34,,bomb 6 9,,,-89,,,,,,,,,,,,,,,,,,,,,,,
wooden wall 7 8,,,18,,,bomb 7 1,,,,-89,,,,,,,,,,,,,,,,,,,,,,
wooden wall 8 7,,,16,,,bomb 9 3,,,,-95,,,,,,,,,,,,,,,,,,,,,,
wooden wall 9 4,,,,28,,increase blast power,98,23,,,,,,,,,,,,,,,,,,,,,,,,
wooden wall 9 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wooden wall 9 6,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wooden wall 10 1,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wooden wall 10 2,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wooden wall 10 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wooden wall 10 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wooden wall 10 6,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bomb 1 2,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bomb 1 9,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bomb 9 1,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bomb 8 8,,,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
